analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST005806	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005806/harmonised/GCST005806.h.tsv.gz	305300835	10042828	14894	0.001483	8419	1	6445	30	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/PDK1_GCST005806.filtered.tsv.gz	249117	sha256	0087f5d4d146f37089cda7c6e5e7b3c16e96057d5a724836c6a123a3a50861bd	10.5	30	40.5
GCST90240120	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240120/harmonised/GCST90240120.h.tsv.gz	305307366	10042828	6384	0.000636	6355	0	0	29	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/PDK2_GCST90240120.filtered.tsv.gz	106897	sha256	da4423e1bda0e378ba63a483b88bd492a1e80b70c92457b19c4e6295ff7be426	10.7	24.3	35
GCST90240121	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240121/harmonised/GCST90240121.h.tsv.gz	305411655	10042828	17667	0.001759	6997	1	10625	45	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/PLCG1_GCST90240121.filtered.tsv.gz	289215	sha256	8ac59ccc0b807ed94a62269dff8e81cddc025bc5ae84bcd9666bc09e1c9d698e	9.8	25.4	35.2
GCST90240122	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240122/harmonised/GCST90240122.h.tsv.gz	305360995	10042828	9535	0.000949	9506	0	0	29	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/YWHAE_GCST90240122.filtered.tsv.gz	157367	sha256	99673eb1f5a50f76567743dfba97e8e6960c4f28bd25f6ff9e0e0221027b34cb	9.6	22.8	32.3
GCST90240123	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240123/harmonised/GCST90240123.h.tsv.gz	305353264	10042828	19018	0.001894	8293	1	10697	28	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/YWHAH_GCST90240123.filtered.tsv.gz	310735	sha256	0e5164095ced35b4136b016ccbd3361fbfbf48d22c110d8a91180ea2eba1476c	10.5	22.4	32.9
GCST90240124	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240124/harmonised/GCST90240124.h.tsv.gz	305321374	10042828	23551	0.002345	4830	2	18691	30	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/SFN_GCST90240124.filtered.tsv.gz	386513	sha256	708f1a1f4a77f3d1ce4794be2072eeaae184c7e908bde4964a0d620f8ed2cf53	10	24.3	34.2
GCST90240125	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240125/harmonised/GCST90240125.h.tsv.gz	305380197	10042828	8142	0.000811	8105	0	0	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/YWHAQ_GCST90240125.filtered.tsv.gz	132397	sha256	513c9dcb14b1270ab7f78a1161f9dc4b9118cb6944b67181d5e6bd68c88557b2	10	25.3	35.3
GCST90240126	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240126/harmonised/GCST90240126.h.tsv.gz	305366056	10042828	23662	0.002356	6572	2	17050	40	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/YWHAZ_GCST90240126.filtered.tsv.gz	388667	sha256	6f2c7c1f71d7c1f0e262e1421731343a131088cc8bba1b81ebfc6652ff0219a1	9.6	22.6	32.2
GCST90240127	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240127/harmonised/GCST90240127.h.tsv.gz	305431156	10042828	29364	0.002924	8238	2	21089	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/HPGD_GCST90240127.filtered.tsv.gz	480675	sha256	1df4a34b4f543c3b5a50175c4ab5aa93ed4b5966308f01d26249e89eae00d197	9.3	23.2	32.6
GCST90240128	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240128/harmonised/GCST90240128.h.tsv.gz	305457076	10042828	50586	0.005037	8360	1	42184	42	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/HSD17B14_GCST90240128.filtered.tsv.gz	771775	sha256	5df750aae44663a3c096e8e03f202f9c1e64dca605f677ded6bc2736d4c23ba1	7	24.5	31.6
GCST90240129	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240129/harmonised/GCST90240129.h.tsv.gz	305401014	10042828	39903	0.003973	7429	2	32444	30	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/PXYLP1_GCST90240129.filtered.tsv.gz	618831	sha256	6045ec5e99ca5a5e3ed8b83c6b1e0b9988dbb9acbd03bdbf5ea20319abcedf0a	9.6	25.2	34.8
GCST90240130	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240130/harmonised/GCST90240130.h.tsv.gz	305418684	10042828	16429	0.001636	5755	1	10625	49	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/OAS1_GCST90240130.filtered.tsv.gz	269402	sha256	e65c2b9441cd646cfd1a486ae7f81a864416e8c1ba96607a267a3b485d3d8534	9.7	24.6	34.3
GCST90240131	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240131/harmonised/GCST90240131.h.tsv.gz	305316945	10042828	5980	0.000595	5941	0	0	39	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/CNP_GCST90240131.filtered.tsv.gz	98840	sha256	11576b7583e382d2b0f1f9c16ffd2663e0c519033c6c438ca175c7753675ae17	9.4	23.6	32.9
